id_canton;nombreCanton;Provincia_idProvincia;Homicidios
112;EL PAN;1;0
101;CUENCA;1;10
115;CAMILO PONCE ENRIQUEZ;1;15
104;NABON;1;0
108;SANTA ISABEL;1;1
109;SIGSIG;1;1
113;SEVILLA DE ORO;1;0
105;PAUTE;1;0
103;GUALACEO;1;0
106;PUCARA;1;0
114;GUACHAPALA;1;0
102;GIRON;1;0
202;CHILLANES;2;0
207;LAS NAVES;2;0
206;CALUMA;2;2
204;ECHEANDIA;2;0
205;SAN MIGUEL;2;0
201;GUARANDA;2;4
203;CHIMBO;2;0
306;DELEG;3;0
305;EL TAMBO;3;0
302;BIBLIAN;3;0
301;AZOGUES;3;3
304;LA TRONCAL;3;18
303;CA\\\\321AR;3;0
404;MIRA;4;0
406;SAN PEDRO DE HUACA;4;0
401;TULCAN;4;4
405;MONTUFAR;4;0
402;BOLIVAR;4;4
403;ESPEJO;4;0
506;SAQUISILI;5;2
505;SALCEDO;5;0
502;LA MANA;5;3
507;SIGCHOS;5;0
504;PUJILI;5;1
501;LATACUNGA;5;4
607;GUANO;6;2
604;CHAMBO;6;0
609;PENIPE;6;0
603;COLTA;6;0
601;RIOBAMBA;6;5
602;ALAUSI;6;0
608;PALLATANGA;6;1
610;CUMANDA;6;1
605;CHUNCHI;6;0
606;GUAMOTE;6;0
706;EL GUABO;7;11
713;ZARUMA;7;0
712;SANTA ROSA;7;22
709;PASAJE;7;45
710;PI\\\\321AS;7;0
704;BALSAS;7;0
714;LAS LAJAS;7;0
708;MARCABELI;7;0
701;MACHALA;7;110
703;ATAHUALPA;7;0
707;HUAQUILLAS;7;43
702;ARENILLAS;7;20
711;PORTOVELO;7;0
806;ATACAMES;8;15
803;MUISNE;8;3
804;QUININDE;8;23
805;SAN LORENZO;8;14
801;ESMERALDAS;8;132
807;RIOVERDE;8;7
802;ELOY ALFARO;8;4
924;LOMAS DE SARGENTILLO;9;1
909;EL TRIUNFO;9;15
918;SANTA LUCIA;9;8
925;NOBOL;9;5
907;DURAN;9;55
911;NARANJAL;9;51
914;PEDRO CARBO;9;12
901;GUAYAQUIL;9;975
922;SIMON BOLIVAR;9;3
919;URBINA JADO;9;0
916;SAMBORONDON;9;9
905;COLIMES;9;2
920;YAGUACHI;9;0
906;DAULE;9;40
912;NARANJITO;9;7
910;MILAGRO;9;75
908;EL EMPALME;9;0
904;BALZAR;9;16
902;ALFREDO BAQUERIZO MORENO;9;9
921;PLAYAS;9;8
1001;IBARRA;10;4
1003;COTACACHI;10;2
1004;OTAVALO;10;2
1005;PIMAMPIRO;10;0
1002;ANTONIO ANTE;10;0
1006;SAN MIGUEL DE URCUQUI;10;0
1108;MACARA;11;0
1101;LOJA;11;9
1107;GONZANAMA;11;0
1102;CALVAS;11;0
1105;CHAGUARPAMBA;11;0
1104;CELICA;11;0
1103;CATAMAYO;11;5
1109;PALTAS;11;0
1106;ESPINDOLA;11;0
1114;PINDAL;11;1
1116;OLMEDO;11;2
1110;PUYANGO;11;0
1112;SOZORANGA;11;0
1113;ZAPOTILLO;11;0
1111;SARAGURO;11;0
1207;VENTANAS;12;21
1205;QUEVEDO;12;99
1210;BUENA FE;12;17
1202;BABA;12;7
1209;PALENQUE;12;4
1213;QUINSALOMA;12;5
1211;VALENCIA;12;6
1208;VINCES;12;18
1206;URDANETA;12;13
1204;PUEBLOVIEJO;12;0
1201;BABAHOYO;12;61
1212;MOCACHE;12;6
1203;MONTALVO;12;1
1303;CHONE;13;6
1319;PUERTO LOPEZ;13;6
1304;EL CARMEN;13;8
