ciudad;Parroquia;id_canton;id_prov
10150;Cuenca;101;1
10151;Ba\\361os;101;1
10152;Cumbe;101;1
10156;Llacao;101;1
10158;Nulti;101;1
10160;Paccha;101;1
10161;Quingeo;101;1
10162;Ricaurte;101;1
10166;Sidcay;101;1
10167;Sinincay;101;1
10170;Valle;101;1
10171;Victoria del Portete;101;1
10250;Giron;102;1
10350;Gualaceo;103;1
10354;Mariano Moreno;103;1
10356;Remigio Crespo Toral;103;1
10357;San Juan;103;1
10358;Zhidmad;103;1
10450;Nabon;104;1
10550;Paute;105;1
10552;Bulan;105;1
10562;Dug-Dug;105;1
10652;San Rafael de Sharug;106;1
10850;Santa Isabel;108;1
10950;Sigsig;109;1
10956;San Jose de Raranga;109;1
11250;El Pan;112;1
11253;San Vicente;112;1
11350;Sevilla de Oro;113;1
11450;Guachapala;114;1
11550;Camilo Ponce Enriquez;115;1
11551;El Carmen De Pijili;115;1
20150;Guaranda;201;2
20151;Facundo Vela;201;2
20155;Salinas;201;2
20159;Simiatug;201;2
20160;San Luis De Pambil;201;2
20250;Chillanes;202;2
20251;San Jose Del Tambo;202;2
20350;San Jose De Chimbo;203;2
20351;Asuncion (Asancoto);203;2
20353;Magdalena (Chapacoto);203;2
20354;San Sebastian;203;2
20355;Telimbela;203;2
20450;Echeandia;204;2
20550;San Miguel;205;2
20551;Balsapamba;205;2
20554;San Pablo;205;2
20555;Santiago;205;2
20650;Caluma;206;2
20750;Las Naves;207;2
30150;Azogues;301;3
30151;Cojitambo;301;3
30153;Guapan;301;3
30154;Javier Loyola;301;3
30155;Luis Cordero;301;3
30156;Pindilig;301;3
30157;Rivera;301;3
30158;San Miguel;301;3
30160;Taday;301;3
30250;Biblian;302;3
30254;Jerusalen;302;3
30350;Ca\\361ar;303;3
30355;Honorato Vasquez;303;3
30356;Ingapirca;303;3
30362;Ventura;303;3
30363;Ducur;303;3
30450;La Troncal;304;3
30452;Pancho Negro;304;3
30550;El Tambo;305;3
30650;Deleg;306;3
30651;Solano;306;3
40150;Tulcan;401;4
40153;Julio Andrade (Orejuela);401;4
40158;Urbina (Taya);401;4
40159;El Chical;401;4
40161;Santa Martha De Cuba;401;4
40250;Bolivar;402;4
40251;Garcia Moreno;402;4
40252;Los Andes;402;4
40254;San Vicente De Pusir;402;4
40255;San Rafael;402;4
40350;El Angel;403;4
40352;La Libertad (Alizo);403;4
40353;San Isidro;403;4
40450;Mira (Chontahuasi);404;4
40451;Concepcion;404;4
40453;Juan Montalvo;404;4
