abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260102;1015000020102601102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260202;1015000020102602102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260302;1015000020102603102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260402;1015000020102604102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260502;1015000020102605102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260602;1015000020102606102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500002010260902;1015000020102609102;10150
1;25;2;0;2;0;2;0;2;0;2;0;101500003040420103;1015000030404201103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500003040420203;1015000030404202103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500003040420303;1015000030404203103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500003040420403;1015000030404204103;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500003040420503;1015000030404205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500003040420603;1015000030404206103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500003040420703;1015000030404207103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500011010280101;1015000110102801101;10150
2;0;2;0;2;0;1;50;2;0;2;0;101500011010280201;1015000110102802101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500011010280401;1015000110102804101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500011010280501;1015000110102805101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500011010280601;1015000110102806101;10150
1;110;2;0;2;0;2;0;2;0;2;0;101500011010280701;1015000110102807101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500011010280801;1015000110102808101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500013070370101;1015000130703701101;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500013070370201;1015000130703702101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500013070370301;1015000130703703101;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500013070370501;1015000130703705101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500013070370701;1015000130703707101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500013070370901;1015000130703709101;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500017010280101;1015000170102801101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500017010280201;1015000170102802101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500017010280301;1015000170102803101;10150
1;200;2;0;2;0;2;0;2;0;2;0;101500017010280401;1015000170102804101;10150
1;145;2;0;2;0;2;0;2;0;2;0;101500017010280501;1015000170102805101;10150
