conglomerado;panelm;estrato;ciudad;id_canton;id_prov
15501;25;2712;10150;101;1
5701;25;2712;10150;101;1
28301;26;2711;10150;101;1
13701;42;2712;10150;101;1
36203;27;2713;10150;101;1
23001;37;2713;10150;101;1
41302;34;2712;10150;101;1
65601;31;2711;10150;101;1
27903;35;2712;10150;101;1
51602;28;2713;10150;101;1
11403;28;2712;10150;101;1
14104;42;2711;10150;101;1
71103;31;2713;10150;101;1
38602;32;2711;10150;101;1
57502;25;2711;10150;101;1
70103;31;2712;10150;101;1
3302;27;2711;10150;101;1
43701;34;2713;10150;101;1
47802;28;2712;10150;101;1
75603;34;2711;10150;101;1
37504;27;2712;10150;101;1
27702;35;2713;10150;101;1
70001;25;2712;10150;101;1
74401;29;2711;10150;101;1
38502;35;2713;10150;101;1
51701;29;2713;10150;101;1
66902;28;2711;10150;101;1
13103;32;2712;10150;101;1
35201;41;2711;10150;101;1
61401;27;2712;10150;101;1
16803;42;2713;10150;101;1
5103;25;2713;10150;101;1
20501;41;2712;10150;101;1
39301;42;2713;10150;101;1
53401;35;2713;10150;101;1
54102;37;2711;10150;101;1
32801;29;2713;10150;101;1
69003;37;2712;10150;101;1
900402;29;122;10150;101;1
3901;26;2712;10150;101;1
25901;34;2712;10150;101;1
77202;25;2712;10150;101;1
7502;42;2712;10150;101;1
64601;28;2712;10150;101;1
76702;27;2713;10150;101;1
19302;25;2711;10150;101;1
61503;29;2711;10150;101;1
48701;31;2713;10150;101;1
15401;34;2713;10150;101;1
50503;34;2713;10150;101;1
74701;32;2711;10150;101;1
23404;29;2712;10150;101;1
35801;34;2713;10150;101;1
16102;27;2711;10150;101;1
57302;29;2712;10150;101;1
18003;32;2712;10150;101;1
33303;37;2713;10150;101;1
5203;41;2712;10150;101;1
65203;35;2712;10150;101;1
36302;31;2711;10150;101;1
54901;29;2713;10150;101;1
63202;31;2711;10150;101;1
41502;32;2713;10150;101;1
77401;35;2712;10150;101;1
14602;29;2712;10150;101;1
40701;29;2711;10150;101;1
21102;27;2712;10150;101;1
1706;29;2713;10150;101;1
45203;25;2712;10150;101;1
60501;29;2711;10150;101;1
23702;26;2712;10150;101;1
38601;29;2711;10150;101;1
51503;35;2712;10150;101;1
67303;37;2712;10150;101;1
47403;29;2713;10150;101;1
53802;29;2713;10150;101;1
75905;26;2712;10150;101;1
27502;37;2712;10150;101;1
32402;26;2711;10150;101;1
6504;42;2711;10150;101;1
52301;35;2713;10150;101;1
10401;27;2712;10150;101;1
12702;32;2713;10150;101;1
72001;41;2713;10150;101;1
4901;27;2713;10150;101;1
57902;35;2712;10150;101;1
17302;37;2711;10150;101;1
29904;25;2711;10150;101;1
52302;26;2713;10150;101;1
16302;42;2711;10150;101;1
20502;29;2712;10150;101;1
27902;26;2712;10150;101;1
61904;25;2713;10150;101;1
58903;35;2711;10150;101;1
11301;32;2712;10150;101;1
16204;32;2712;10150;101;1
42803;26;2711;10150;101;1
45304;37;2712;10150;101;1
48001;31;2711;10150;101;1
69504;41;2711;10150;101;1
58603;25;2712;10150;101;1
72302;42;2713;10150;101;1
45403;27;2711;10150;101;1
24701;34;2712;10150;101;1
77701;31;2712;10150;101;1
47501;37;2713;10150;101;1
60401;41;2713;10150;101;1
24602;25;2713;10150;101;1
70601;41;2711;10150;101;1
67004;34;2711;10150;101;1
42103;31;2712;10150;101;1
29802;34;2711;10150;101;1
78402;34;2712;10150;101;1
25301;41;2711;10150;101;1
35401;41;2711;10150;101;1
72902;28;2712;10150;101;1
20401;27;2712;10150;101;1
70702;37;2711;10150;101;1
57602;42;2712;10150;101;1
76301;31;2712;10150;101;1
42501;41;2712;10150;101;1
66601;35;2712;10150;101;1
6303;26;2712;10150;101;1
25102;29;2711;10150;101;1
30703;29;2711;10150;101;1
64701;26;2711;10150;101;1
15702;32;2713;10150;101;1
14102;32;2711;10150;101;1
22902;27;2712;10150;101;1
43802;42;2713;10150;101;1
46903;28;2713;10150;101;1
29101;35;2711;10150;101;1
17001;28;2711;10150;101;1
63003;27;2711;10150;101;1
12601;42;2711;10150;101;1
47202;26;2713;10150;101;1
59502;25;2712;10150;101;1
16702;31;2713;10150;101;1
46201;35;2713;10150;101;1
19502;37;2713;10150;101;1
63602;35;2713;10150;101;1
6602;42;2713;10150;101;1
36401;28;2711;10150;101;1
72504;26;2713;10150;101;1
25101;27;2711;10150;101;1
31301;34;2713;10150;101;1
2103;34;2713;10150;101;1
49701;31;2712;10150;101;1
68005;28;2713;10150;101;1
11902;35;2711;10150;101;1
40801;31;2712;10150;101;1
73703;37;2711;10150;101;1
6202;37;2711;10150;101;1
19905;27;2712;10150;101;1
23501;32;2711;10150;101;1
304;42;2712;10150;101;1
41203;35;2712;10150;101;1
67604;37;2712;10150;101;1
41103;25;2713;10150;101;1
52802;41;2711;10150;101;1
3203;28;2711;10150;101;1
14201;35;2711;10150;101;1
1101;28;2713;10150;101;1
63503;26;2712;10150;101;1
3903;41;2712;10150;101;1
17102;42;2713;10150;101;1
42702;34;2712;10150;101;1
61002;27;2711;10150;101;1
76903;34;2711;10150;101;1
54401;42;2713;10150;101;1
62002;42;2712;10150;101;1
64705;25;2711;10150;101;1
13302;32;2712;10150;101;1
17801;34;2712;10150;101;1
53501;31;2711;10150;101;1
5101;31;2713;10150;101;1
69802;27;2713;10150;101;1
77301;32;2712;10150;101;1
46203;31;2713;10150;101;1
28102;28;2713;10150;101;1
10204;26;2711;10150;101;1
5401;41;2712;10150;101;1
58302;41;2712;10150;101;1
13905;29;2712;10150;101;1
44603;25;2711;10150;101;1
69505;32;2711;10150;101;1
26405;29;2712;10150;101;1
54602;31;2713;10150;101;1
21803;29;2712;10150;101;1
49001;41;2712;10150;101;1
56502;37;2712;10150;101;1
64804;25;2713;10150;101;1
16402;32;2712;10150;101;1
28802;31;2711;10150;101;1
43403;41;2712;10150;101;1
43601;34;2711;10150;101;1
62502;25;2712;10150;101;1
22602;29;2713;10150;101;1
60004;31;2711;10150;101;1
31403;32;2713;10150;101;1
32102;34;2712;10150;101;1
71901;29;2712;10150;101;1
57002;35;2712;10150;101;1
61103;26;2712;10150;101;1
201;26;2713;10150;101;1
14702;37;2713;10150;101;1
43201;42;2711;10150;101;1
1701;28;2713;10150;101;1
51401;27;2711;10150;101;1
1307;37;2713;10150;101;1
63001;35;2711;10150;101;1
25905;31;2712;10150;101;1
55901;28;2711;10150;101;1
42101;35;2712;10150;101;1
77601;32;2711;10150;101;1
11402;37;2712;10150;101;1
70303;32;2712;10150;101;1
18902;28;2712;10150;101;1
38302;42;2711;10150;101;1
8801;42;2712;10150;101;1
56501;26;2712;10150;101;1
52903;31;2712;10150;101;1
65804;32;2711;10150;101;1
76403;25;2711;10150;101;1
41803;42;2712;10150;101;1
44302;37;2712;10150;101;1
51902;28;2712;10150;101;1
5601;27;2713;10150;101;1
39601;35;2713;10150;101;1
72101;32;2712;10150;101;1
69101;34;2712;10150;101;1
3602;41;2713;10150;101;1
72703;34;2713;10150;101;1
11501;37;2711;10150;101;1
61702;31;2712;10150;101;1
70102;27;2712;10150;101;1
17701;26;2713;10150;101;1
30902;37;2711;10150;101;1
43602;26;2711;10150;101;1
48102;27;2712;10150;101;1
55303;32;2713;10150;101;1
36205;32;2713;10150;101;1
37001;34;2711;10150;101;1
38501;41;2713;10150;101;1
18601;37;2713;10150;101;1
20504;28;2712;10150;101;1
58703;42;2711;10150;101;1
30601;34;2712;10150;101;1
31001;41;2713;10150;101;1
34301;42;2712;10150;101;1
36602;34;2711;10150;101;1
41904;32;2713;10150;101;1
24101;41;2711;10150;101;1
35602;29;2712;10150;101;1
56703;42;2712;10150;101;1
59902;26;2713;10150;101;1
69803;25;2713;10150;101;1
20703;27;2713;10150;101;1
51102;41;2713;10150;101;1
3806;25;2711;10150;101;1
9303;28;2712;10150;101;1
33002;35;2711;10150;101;1
36801;26;2712;10150;101;1
63103;28;2712;10150;101;1
7501;25;2712;10150;101;1
17403;41;2712;10150;101;1
20403;37;2712;10150;101;1
71001;28;2711;10150;101;1
44203;41;2713;10150;101;1
27701;25;2713;10150;101;1
33101;26;2713;10150;101;1
73701;28;2711;10150;101;1
40601;27;2713;10150;101;1
7703;26;2711;10150;101;1
62302;28;2713;10150;101;1
17602;31;2713;10150;101;1
73102;35;2711;10150;101;1
901;37;113;10151;101;1
404;31;112;10152;101;1
303;31;111;10152;101;1
900501;37;123;10156;101;1
901001;31;123;10158;101;1
900601;35;122;10158;101;1
901702;28;123;10160;101;1
901503;34;121;10160;101;1
902101;42;121;10161;101;1
201;34;113;10162;101;1
1901;41;113;10162;101;1
900801;25;123;10162;101;1
107;28;113;10162;101;1
504;35;112;10162;101;1
901902;41;123;10162;101;1
1503;32;113;10162;101;1
900401;25;122;10166;101;1
903003;37;122;10167;101;1
900901;31;122;10167;101;1
902201;28;122;10167;101;1
901501;32;123;10167;101;1
101;35;113;10170;101;1
903101;35;123;10170;101;1
901002;29;123;10170;101;1
906402;26;123;10170;101;1
601;27;113;10170;101;1
901102;27;123;10170;101;1
301;25;113;10170;101;1
901302;26;122;10171;101;1
900602;25;121;10171;101;1
401;37;112;10250;102;1
901401;41;121;10250;102;1
903;26;112;10250;102;1
1003;27;112;10350;103;1
701;29;112;10350;103;1
2504;34;112;10350;103;1
703;42;112;10350;103;1
2303;29;111;10350;103;1
904;42;113;10350;103;1
2506;28;112;10350;103;1
102;34;122;10354;103;1
900101;28;121;10356;103;1
901601;35;121;10357;103;1
900201;31;121;10358;103;1
900401;37;121;10450;104;1
401;26;111;10550;105;1
904;42;111;10550;105;1
1401;34;111;10550;105;1
1107;29;113;10550;105;1
900602;42;122;10552;105;1
900203;26;121;10562;105;1
104;32;121;10652;106;1
204;25;112;10850;108;1
1204;31;113;10850;108;1
801;41;112;10950;109;1
401;26;113;10950;109;1
105;27;122;10956;109;1
900102;32;122;11250;112;1
900403;29;121;11253;112;1
102;41;122;11253;112;1
102;34;123;11350;113;1
104;42;123;11450;114;1
1101;25;111;11550;115;1
104;32;111;11550;115;1
1103;35;111;11550;115;1
1403;28;111;11550;115;1
903;41;111;11550;115;1
501;27;111;11550;115;1
