tieneVehiculos;tieneMotos;numVehiculos;numMotos;id_hogar;id_vivienda;ciudad
2;2;0;0;1015000020102601102;101500002010260102;10150
2;2;0;0;1015000020102602102;101500002010260202;10150
2;2;0;0;1015000020102603102;101500002010260302;10150
2;2;0;0;1015000020102604102;101500002010260402;10150
2;2;0;0;1015000020102605102;101500002010260502;10150
2;2;0;0;1015000020102606102;101500002010260602;10150
2;2;0;0;1015000020102609102;101500002010260902;10150
1;2;1;0;1015000030404201103;101500003040420103;10150
2;2;0;0;1015000030404202103;101500003040420203;10150
2;2;0;0;1015000030404203103;101500003040420303;10150
2;2;0;0;1015000030404204103;101500003040420403;10150
1;1;1;1;1015000030404205103;101500003040420503;10150
2;2;0;0;1015000030404206103;101500003040420603;10150
2;2;0;0;1015000030404207103;101500003040420703;10150
2;2;0;0;1015000110102801101;101500011010280101;10150
1;2;1;0;1015000110102802101;101500011010280201;10150
2;2;0;0;1015000110102804101;101500011010280401;10150
2;2;0;0;1015000110102805101;101500011010280501;10150
1;2;1;0;1015000110102806101;101500011010280601;10150
1;2;2;0;1015000110102807101;101500011010280701;10150
1;1;1;1;1015000110102808101;101500011010280801;10150
2;2;0;0;1015000130703701101;101500013070370101;10150
1;2;1;0;1015000130703702101;101500013070370201;10150
2;2;0;0;1015000130703703101;101500013070370301;10150
1;2;1;0;1015000130703705101;101500013070370501;10150
2;2;0;0;1015000130703707101;101500013070370701;10150
2;2;0;0;1015000130703709101;101500013070370901;10150
2;1;0;2;1015000170102801101;101500017010280101;10150
2;2;0;0;1015000170102802101;101500017010280201;10150
2;2;0;0;1015000170102803101;101500017010280301;10150
1;2;1;0;1015000170102804101;101500017010280401;10150
1;1;1;1;1015000170102805101;101500017010280501;10150
2;2;0;0;1015000170102806101;101500017010280601;10150
2;2;0;0;1015000170102807101;101500017010280701;10150
1;1;1;1;1015000170602901101;101500017060290101;10150
1;2;3;0;1015000170602902101;101500017060290201;10150
2;2;0;0;1015000170602903101;101500017060290301;10150
2;2;0;0;1015000170602905101;101500017060290501;10150
1;2;1;0;1015000170602906101;101500017060290601;10150
1;2;1;0;1015000170602907101;101500017060290701;10150
2;2;0;0;1015000170602909101;101500017060290901;10150
2;2;0;0;1015000210303401103;101500021030340103;10150
1;1;1;1;1015000210303402103;101500021030340203;10150
2;2;0;0;1015000210303403103;101500021030340303;10150
1;2;1;0;1015000210303404103;101500021030340403;10150
2;2;0;0;1015000210303405103;101500021030340503;10150
2;2;0;0;1015000210303406103;101500021030340603;10150
2;2;0;0;1015000210303409103;101500021030340903;10150
1;2;2;0;1015000320302801101;101500032030280101;10150
1;2;1;0;1015000320302802101;101500032030280201;10150
2;1;0;1;1015000320302803101;101500032030280301;10150
1;2;1;0;1015000320302804101;101500032030280401;10150
2;1;0;1;1015000320302805101;101500032030280501;10150
1;2;1;0;1015000320302806101;101500032030280601;10150
1;2;1;0;1015000320302807101;101500032030280701;10150
1;2;1;0;1015000330202701103;101500033020270103;10150
2;2;0;0;1015000330202702103;101500033020270203;10150
1;2;2;0;1015000330202703103;101500033020270303;10150
2;2;0;0;1015000330202704103;101500033020270403;10150
2;1;0;1;1015000330202705103;101500033020270503;10150
1;2;1;0;1015000330202706103;101500033020270603;10150
1;2;1;0;1015000330202707103;101500033020270703;10150
2;1;0;1;1015000360204101102;101500036020410102;10150
1;2;2;0;1015000360204102102;101500036020410202;10150
2;2;0;0;1015000360204103102;101500036020410302;10150
2;2;0;0;1015000360204104102;101500036020410402;10150
1;1;1;2;1015000360204106102;101500036020410602;10150
2;2;0;0;1015000360204108102;101500036020410802;10150
2;2;0;0;1015000360204109102;101500036020410902;10150
2;2;0;0;1015000380602501101;101500038060250101;10150
1;2;1;0;1015000380602502101;101500038060250201;10150
1;2;1;0;1015000380602503101;101500038060250301;10150
1;2;1;0;1015000380602504101;101500038060250401;10150
2;2;0;0;1015000380602505101;101500038060250501;10150
1;2;1;0;1015000380602506101;101500038060250601;10150
1;2;1;0;1015000380602507101;101500038060250701;10150
1;2;1;0;1015000390102601102;101500039010260102;10150
1;2;1;0;1015000390102602102;101500039010260202;10150
1;2;1;0;1015000390102603102;101500039010260302;10150
1;1;1;1;1015000390102604102;101500039010260402;10150
1;1;2;1;1015000390102605102;101500039010260502;10150
2;2;0;0;1015000390102606102;101500039010260602;10150
1;2;1;0;1015000390102607102;101500039010260702;10150
1;2;1;0;1015000390304102102;101500039030410202;10150
1;2;1;0;1015000390304103102;101500039030410302;10150
1;2;1;0;1015000390304104102;101500039030410402;10150
1;2;1;0;1015000390304105102;101500039030410502;10150
1;2;1;0;1015000390304108102;101500039030410802;10150
1;2;2;0;1015000390304109102;101500039030410902;10150
2;2;0;0;1015000390304110102;101500039030411002;10150
2;2;0;0;1015000490102701103;101500049010270103;10150
2;2;0;0;1015000490102702103;101500049010270203;10150
2;2;0;0;1015000490102703103;101500049010270303;10150
1;2;1;0;1015000490102703203;101500049010270303;10150
2;2;0;0;1015000490102704103;101500049010270403;10150
